date,source,rating,title,text,thumbs_up,app_version,developer_replied
2025-12-02 18:26:02+00:00,Google Play,5,,"Outstanding app! Easy to use, reliable, and packed with useful features. Definitely deserves all 5 stars.",1,8.8.8,True
2025-12-02 18:16:20+00:00,Google Play,5,,one of the best trading aap,0,8.8.8,True
2025-12-02 17:13:11+00:00,Google Play,5,,good UI,0,,True
2025-12-02 14:05:15+00:00,Google Play,4,,good app,0,8.8.8,True
2025-12-02 10:25:20+00:00,Google Play,1,,"worst trading app if I sell for 39.45 then they will decrease it to 39.30 .. such a cheating in trading, also stock price is not accurate",0,8.8.8,True
2025-12-02 10:01:49+00:00,Google Play,5,,awesome,0,8.8.8,True
2025-12-02 09:45:47+00:00,Google Play,5,,Good,0,8.8.8,True
2025-12-02 08:38:16+00:00,Google Play,1,,worst application I ever use and seen pls don't use,0,8.8.8,True
2025-12-02 02:51:55+00:00,Google Play,5,,good,0,8.8.8,True
2025-12-02 00:05:33+00:00,Google Play,5,,Good App,0,8.8.8,True
2025-12-01 23:13:08+00:00,Google Play,5,,I love 😘,0,8.8.5,True
2025-12-01 22:06:39+00:00,Google Play,5,,ok,0,,True
2025-12-01 21:34:00+00:00,Google Play,5,,"ok good flatform, thanks",0,8.8.8,True
2025-12-01 20:46:28+00:00,Google Play,3,,"please stop frequent displays of fno activation, it's a very bad practice and unethical to force someone to activate fno and start losing money. please stop this nonsense. if it's done i will give 5 stars otherwise i will close your account.",0,8.8.8,True
2025-12-01 20:09:31+00:00,Google Play,4,,the app is Great for his fundamental or core features. but app is so laggy it is not smooth that is minus point I hope they will resolve this within period of time,0,8.8.8,True
2025-12-01 19:49:50+00:00,Google Play,1,,"My federal account got blocked in kyc . Connecting indmoney is really hard as we have to create a ticket , we can't call them nor chat with their agent. such a bad customer support.",0,8.8.8,True
2025-12-01 18:59:18+00:00,Google Play,3,,"Why creating UCID again and again, send me email for update STOP creating UCID. It was created again after I spoke to support, stop it.",0,8.8.8,True
2025-12-01 17:54:41+00:00,Google Play,5,,brilliant,0,8.8.8,True
2025-12-01 16:46:43+00:00,Google Play,5,,best,0,8.8.6,True
2025-12-01 14:30:16+00:00,Google Play,3,,more improvement,0,8.8.8,True
2025-12-01 14:18:40+00:00,Google Play,5,,ekdam bakwas hai my lone manga to ulta. mujse hi 100 maang raha hai in,0,,True
